   91      0      0      0      0      0      0      1      0      0      0      0
    0    364      0      0      0      0      0      0      1      0      0      0
    0      0    819      0      0      0      0     -1      1      0      0      0
    0      0      0   1456      0      0      0      0     -1      1      0      0
    0      0      0      0     91      0      0      0      0     -1      1      0
    0      0      0      0      0     91      0      0      0     -1      0      1
    0      0      0      0      0      0     91      0      0      0      1     -1
    1      0     -1      0      0      0      0      0      0      0      0      0
    0      1      1     -1      0      0      0      0      0      0      0      0
    0      0      0      1     -1     -1      0      0      0      0      0      0
    0      0      0      0      1      0      1      0      0      0      0      0
    0      0      0      0      0      1     -1      0      0      0      0      0
