stage: 0
    48       0       0       0       2       0      -2
     0      12       0       0       2      -2       0
     0       0      12       0       2      -2       0
     0       0       0      12       2      -2       0
     2       2       2       2       0       0       0
     0      -2      -2      -2       0       0       0
    -2       0       0       0       0       0       0


stage: 1
 -7856       0       0       0     542       0    -542
     0   22324       0       0     542    -542       0
     0       0   15764       0     542    -542       0
     0       0       0   -5676     542    -542       0
   542     542     542     542       0       0       0
     0    -542    -542    -542       0       0       0
  -542       0       0       0       0       0       0


stage: 2
-20752       0       0       0   -6518       0    6518
     0   26492       0       0   -6518    6518       0
     0       0    9340       0   -6518    6518       0
     0       0       0   15484   -6518    6518       0
 -6518   -6518   -6518   -6518       0       0       0
     0    6518    6518    6518       0       0       0
  6518       0       0       0       0       0       0


stage: 3
 31888       0       0       0   -7834       0    7834
     0  -24540       0       0   -7834    7834       0
     0       0   18820       0   -7834    7834       0
     0       0       0    4036   -7834    7834       0
 -7834   -7834   -7834   -7834       0       0       0
     0    7834    7834    7834       0       0       0
  7834       0       0       0       0       0       0


stage: 4
 -2384       0       0       0   -5630       0    5630
     0  -27892       0       0   -5630    5630       0
     0       0    4620       0   -5630    5630       0
     0       0       0  -13300   -5630    5630       0
 -5630   -5630   -5630   -5630       0       0       0
     0    5630    5630    5630       0       0       0
  5630       0       0       0       0       0       0


